Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2017,James Conner,Pittsburgh,RB,73,233,9.88,31.25,,4.65,20,29,113,,,
2017,Dalvin Cook,Florida St.,RB,70,210,9.25,32.38,,4.49,22,30.5,116,7.27,,
2017,Ethan Cooper,Indiana (PA),OG,74,322,10.38,32.63,,5.36,26,24.5,99,8.02,,
2017,Zach Cunningham,Vanderbilt,LB,75,234,9.25,34.38,,4.67,15,35,125,7.03,,
2017,Jeremy Cutrer,Middle Tennessee St.,CB,74,170,,,,,,,,,4.26,
2017,Darrell Daniels,Washington,TE,75,247,10.25,34.5,,4.55,17,32,116,7.09,4.09,
2017,Amara Darboh,Michigan,WR,74,214,9.88,32.63,,4.45,17,36,124,,4.26,11.88
2017,Julie'n Davenport,Bucknell,OT,79,318,10.5,36.5,,5.45,18,27,106,7.57,,
2017,Corey Davis,Western Michigan,WR,75,209,9.13,33,,,,,,,4.28,11.48
2017,Jarrad Davis,Florida,LB,73,238,9.75,33.5,,,,,,,4.39,
2017,Justin Davis,USC,RB,73,208,9.63,31,,,21,,,,4.32,11.29
2017,Keionta Davis,Tennessee-Chattanooga,DE,75,271,9.5,34,,,,,,,4.46,
2017,Kevin Davis,Colorado St.,LB,74,235,10.25,32.38,,4.91,11,30.5,110,7.18,4.5,
2017,Robert Davis,Georgia State,WR,75,219,9.63,33,,4.44,19,41,136,6.82,4.19,11.77
2017,Dion Dawkins,Temple,OG,76,314,9.88,35,,5.11,26,26,106,7.3,4.68,
2017,Matt Dayes,N.C. State,RB,69,205,10.5,30,,,18,28,109,,,
2017,Treston Decoud,Oregon St.,CB,74,206,9.25,33,,4.62,11,31,116,,,
2017,J.J. Dielman,Utah,C,77,309,10,32.25,,,27,,,,4.84,
2017,Joshua Dobbs,Tennessee,QB,75,216,9.25,32.63,,4.64,,33,122,6.75,4.41,
2017,Dylan Donahue,West Georgia,DL,75,248,9,30.25,,4.75,26,29.5,116,7.02,,
2017,Rasul Douglas,West Virginia,CB,74,209,9.25,32.38,,4.59,16,33.5,120,6.97,,
2017,Jessamen Dunker,Tennessee St.,OG,76,318,10,33.5,,4.98,23,28.5,108,,4.13,11.2
2017,Malachi Dupre,LSU,WR,74,196,9,31.5,,4.52,11,39.5,135,7.19,4.13,
2017,Travin Dural,LSU,WR,73,202,9,32,,4.57,,30.5,116,7.29,4.54,
2017,Ken Ekanem,Virginia Tech,DL,75,257,10.5,32,,4.88,,30.5,115,7.38,4.4,
2017,Corn Elder,Miami,CB,70,183,8.75,31.25,,4.55,,,,,,
2017,Pat Elflein,Ohio St.,C,75,303,9.75,33.25,,5.32,22,23.5,99,7.94,,
2017,Jake Elliott,Memphis,K,69,167,9,29,,4.79,,,,,,
2017,Jermaine Eluemunor,Texas A&M,OL,76,332,9.5,33.25,,5.22,34,,,,,
2017,Darius English,South Carolina,OLB,78,245,,,,,,,,,4.94,
2017,Evan Engram,Mississippi,TE,75,234,10,33.5,,4.42,19,36,125,6.92,4.33,
2017,Amba Etta-Tawo,Syracuse,WR,73,208,9.13,32,,4.49,14,31,126,6.95,4.34,
2017,Jerod Evans,Virginia Tech,QB,75,232,9.38,33.13,,4.8,,26.5,112,,4.25,
2017,Justin Evans,Texas A&M,S,72,199,9.75,32,,,14,,,,,
2017,Gerald Everett,South Alabama,TE,75,239,8.5,33,,4.62,22,37.5,126,6.99,4.18,11.57
2017,Dan Feeney,Indiana,OG,76,305,10.25,33.38,,5.24,26,28,101,7.52,,
2017,Devonte' Fields,Louisville,OLB,74,236,9,32.38,,4.72,,34,124,7.4,4.88,
